property_type,site_eui_kbtu_sqft_2026,site_eui_kbtu_sqft_2030,ghgi_kgco2e_sqft_2026,ghgi_kgco2e_sqft_2030
Adult Education,53.1,42.6,3.3,1.9
Ambulatory Surgical Center,79.2,63.5,4.9,2.8
Aquarium,98.3,78.8,6.1,3.5
Automobile Dealership,55.8,44.7,3.5,2
Bank Branch,83,66.6,5.1,3
Bar/Nightclub,113,90.6,7,4
Barracks,52.8,44.9,3.3,2
Bowling Alley,114.5,81.5,7.1,3.6
Casino,74.6,56.2,4.6,2.5
College/University,74.1,58.3,4.6,2.6
Convenience Store with Gas Station,205.9,165.1,12.8,7.4
Convenience Store without Gas Station,237.5,190.5,14.7,8.5
Convention Center,43,34.5,2.7,1.5
Courthouse,66.8,53.6,4.1,2.4
Distribution Center,38.5,30.9,2.4,1.4
Enclosed Mall,59.5,47.7,3.7,2.1
Fast Food Restaurant,406.1,325.8,25.2,14.5
Financial Office,57.2,46.9,3.5,2.1
Fire Station,59.5,47.7,3.7,2.1
Fitness Center/Health Club/Gym,114.5,81.5,7.1,3.6
Food Sales,202.6,162.5,12.6,7.3
Food Service,244.3,195.9,15.2,8.7
Hospital (General Medical & Surgical),217.6,172,13.5,7.7
Hotel,64.3,54.3,4,2.4
Ice/Curling Rink,114.5,81.5,7.1,3.6
Indoor Arena,74.6,56.2,4.6,2.5
K-12 School,56.9,49.1,3.5,2.2
Laboratory,200.7,161,12.5,7.2
Library,69,55.3,4.3,2.5
Lifestyle Center,59.8,39,3.7,1.7
Mailing Center/Post Office,60.6,48.6,3.8,2.2
Medical Office,76.7,64.9,4.8,2.9
Movie Theater,74.6,56.2,4.6,2.5
Multifamily Housing,50.6,42.1,3.1,1.9
Museum,74.6,56.2,4.6,2.5
Non-Refrigerated Warehouse,38,27.5,2.4,1.2
Office,57.2,46.9,3.5,2.1
Other,70.3,55,4.4,2.5
Other - Education,53.1,42.6,3.3,1.9
Other - Entertainment/Public Assembly,98.3,78.8,6.1,3.5
Other - Lodging/Residential,66.9,53.7,4.2,2.4
Other - Mall,78.7,63.1,4.9,2.8
Other - Public Services,45.1,36.2,2.8,1.6
Other - Recreation,114.5,81.5,7.1,3.6
Other - Restaurant/Bar,253.2,203.1,15.7,9.1
Other - Services,45.1,36.2,2.8,1.6
Other - Specialty Hospital,217.6,172,13.5,7.7
Other - Stadium,74.6,56.2,4.6,2.5
Other - Technology/Science,70.3,55,4.4,2.5
Outpatient Rehabilitation/Physical Therapy,79.2,63.5,4.9,2.8
Performing Arts,74.6,56.2,4.6,2.5
"Personal Services (Health/Beauty, Dry Cleaning, etc.)",45.1,36.2,2.8,1.6
Police Station,59.5,47.7,3.7,2.1
Pre-school/Daycare,50.8,40.7,3.1,1.8
Prison/Incarceration,108.3,86.9,6.7,3.9
Race Track,74.6,56.2,4.6,2.5
Refrigerated Warehouse,83.3,66.8,5.2,3
"Repair Services (Vehicle, Shoe, Locksmith, etc.)",45.1,36.2,2.8,1.6
Residence Hall/Dormitory,52.8,44.9,3.3,2
Residential Care Facility,68,57.7,4.2,2.6
Restaurant,253.2,203.1,15.7,9.1
Retail Store,57.3,41.5,3.6,1.9
Roller Rink,114.5,81.5,7.1,3.6
Self-Storage Facility,10.9,7.7,0.7,0.3
Senior Living Community,68,57.7,4.2,2.6
Social/Meeting Hall,43,34.5,2.7,1.5
Stadium (Closed),74.6,56.2,4.6,2.5
Stadium (Open),74.6,56.2,4.6,2.5
Strip Mall,59.8,39,3.7,1.7
Supermarket/Grocery Store,158.3,140,9.8,6.2
Swimming Pool,114.5,81.5,7.1,3.6
Transportation Terminal/Station,98.3,78.8,6.1,3.5
Urgent Care/Clinic/Other Outpatient,76.7,64.9,4.8,2.9
Veterinary Office,76.7,64.9,4.8,2.9
Vocational School,53.1,42.6,3.3,1.9
Wholesale Club/Supercenter,57.3,41.5,3.6,1.9
Worship Facility,41.7,38.4,2.6,1.7
Zoo,98.3,78.8,6.1,3.5